tweet_userid,tweet_date,tweet_texts,tweet_links,tweet_hastags,tweet_blob
Jamiebgoldberg,2:29 PM - 6 Jul 2015,How Morgan Brian’s MF role set the #USA in motion toward a #FIFAWWC title (via @liviubird): http://on.si.com/BrianWWCFinal  pic.twitter.com/3uYrNkTo9W,http://on.si.com/BrianWWCFinal,#USA ; #FIFAWWC,how morgan brians mf role set the usa in motion toward a fifawwc title via liviubird  w
worldsoccertalk,2:15 PM - 6 Jul 2015,#USA lifted the trophy but @Tony_Leighton explains why #ENG was his team of the #FIFAWWC http://ble.ac/1CWHidN  pic.twitter.com/ONWVmyC2bv,http://ble.ac/1CWHidN,#USA ; #ENG ; #FIFAWWC, usa lifted the trophy but tony_leighton explains why eng was his team of the fifawwc  bv
Lule_07,2:13 PM - 6 Jul 2015,Google is awesome #USWNT #Champions #FIFAWWC #3stars #USA https://instagram.com/p/4zzN6OnzUx/ ,https://instagram.com/p/4zzN6OnzUx/,#USWNT ; #Champions ; #FIFAWWC ; #3stars ; #USA,google is awesome uswnt champions fifawwc  tars usa 
AYBSportsbook,2:10 PM - 6 Jul 2015,The #USA women won the #FIFAWWC - Can the men triumph at the GoldCup? Wager and win on your favorites! http://ow.ly/Pev9h   US welcome,http://ow.ly/Pev9h,#USA ; #FIFAWWC,the usa women won the fifawwc can the men triumph at the goldcup wager and win on your favorites us welcome
HoustonDash,2:10 PM - 6 Jul 2015,This is what happens when a crowd gathers to enjoy a little #FIFAWWC on Sunday afternoon: https://youtu.be/zhrY9jkK0WU  #USA,https://youtu.be/zhrY9jkK0WU,#FIFAWWC ; #USA,this is what happens when a crowd gathers to enjoy a little fifawwc on sunday afternoon usa
HarJournalist,2:07 PM - 6 Jul 2015,The @VancouverSun @VancouverMetro and @TheProvince newspapers today in #Vancouver. #USA #USWNT #FIFAWWC pic.twitter.com/ZZndFAT7cp,,#Vancouver. ; #USA ; #USWNT ; #FIFAWWC,the vancouversun vancouvermetro and theprovince newspapers today in vancouver usa uswnt fifawwc  cp
TheLynnRobinson,2:06 PM - 6 Jul 2015,Why is no one talking about how amazing Sarah Huffman's arms are in that pic? 🏼#FIFAWWC #USA,,🏼#FIFAWWC ; #USA,why is no one talking about how amazing sarah huffman s arms are in that pic fifawwc usa
NYinstant,2:03 PM - 6 Jul 2015,"Now that the #USA won the #WomensWorldCup, Americans can go back to admitting that they don't actually like the sport.
#FIFAWWC",,"#USA ; #WomensWorldCup, ; #FIFAWWC",now that the usa won the womensworldcup americans can go back to admitting that they don t actually like the sport fifawwc
dpscrm,1:59 PM - 6 Jul 2015,Did you watch the #FIFAWWC Final? See how the #USA v. #JPN conversations played out on Twitter in this heat map http://bit.ly/1KM8KS2 ,http://bit.ly/1KM8KS2,#FIFAWWC ; #USA ; #JPN,did you watch the fifawwc final see how the usa v jpn conversations played out on twitter in this heat map 
Cnyari,1:56 PM - 6 Jul 2015,#FIFAWWC final beat both the NBA and NHL finals in TV ratings and set new record for US soccer viewership. #USA http://www.sbnation.com/2015/7/6/8900299/more-americans-watched-the-womens-world-cup-final-than-the-nba-finals …,http://www.sbnation.com/2015/7/6/8900299/more-americans-watched-the-womens-world-cup-final-than-the-nba-finals,#FIFAWWC ; #USA, fifawwc final beat both the nba and nhl finals in tv ratings and set new record for us soccer viewership usa 
